Idp,Vel:0,Vel:1,Vel:2,Rhop,Type,Mk,Points:0,Points:1,Points:2
435,0,0,0,1000,0,11,-0.41,0,0
436,0,0,0,1000,0,11,-0.4075,0,0
437,0,0,0,1000,0,11,-0.405,0,0
438,0,0,0,1000,0,11,-0.4025,0,0
439,0,0,0,1000,0,11,-0.4,0,0
440,0,0,0,1000,0,11,-0.3975,0,0
441,0,0,0,1000,0,11,-0.395,0,0
442,0,0,0,1000,0,11,-0.3925,0,0
443,0,0,0,1000,0,11,-0.39,0,0
444,0,0,0,1000,0,11,-0.3875,0,0
445,0,0,0,1000,0,11,-0.385,0,0
446,0,0,0,1000,0,11,-0.3825,0,0
447,0,0,0,1000,0,11,-0.38,0,0
448,0,0,0,1000,0,11,-0.3775,0,0
449,0,0,0,1000,0,11,-0.375,0,0
450,0,0,0,1000,0,11,-0.3725,0,0
451,0,0,0,1000,0,11,-0.37,0,0
452,0,0,0,1000,0,11,-0.3675,0,0
453,0,0,0,1000,0,11,-0.365,0,0
454,0,0,0,1000,0,11,-0.3625,0,0
455,0,0,0,1000,0,11,-0.36,0,0
456,0,0,0,1000,0,11,-0.3575,0,0
457,0,0,0,1000,0,11,-0.355,0,0
458,0,0,0,1000,0,11,-0.3525,0,0
459,0,0,0,1000,0,11,-0.35,0,0
460,0,0,0,1000,0,11,-0.3475,0,0
461,0,0,0,1000,0,11,-0.345,0,0
462,0,0,0,1000,0,11,-0.3425,0,0
463,0,0,0,1000,0,11,-0.34,0,0
464,0,0,0,1000,0,11,-0.3375,0,0
465,0,0,0,1000,0,11,-0.335,0,0
466,0,0,0,1000,0,11,-0.3325,0,0
467,0,0,0,1000,0,11,-0.33,0,0
468,0,0,0,1000,0,11,-0.3275,0,0
469,0,0,0,1000,0,11,-0.325,0,0
470,0,0,0,1000,0,11,-0.3225,0,0
471,0,0,0,1000,0,11,-0.32,0,0
472,0,0,0,1000,0,11,-0.3175,0,0
473,0,0,0,1000,0,11,-0.315,0,0
474,0,0,0,1000,0,11,-0.3125,0,0
475,0,0,0,1000,0,11,-0.31,0,0
476,0,0,0,1000,0,11,-0.3075,0,0
477,0,0,0,1000,0,11,-0.305,0,0
478,0,0,0,1000,0,11,-0.3025,0,0
479,0,0,0,1000,0,11,-0.3,0,0
